,Area (SQFT),Unit Price ($ PSF),Floor,Remaining Tenure,Is Freehold,walk_distance,Condo_Apartment,Landed,East Region,North East Region,North Region,West Region,Resale,Sub Sale
60123,904.18,1647,6,98,0,576.0,1,0,0,0,0,0,0,0
60124,764.24,1736,12,98,0,493.0,1,0,0,0,0,0,0,0
60125,979.52,1896,14,97,0,440.0,1,0,0,0,0,0,0,0
60126,764.24,1732,9,98,0,595.0,1,0,0,0,0,0,0,0
60127,1011.82,1672,7,98,0,541.0,1,0,0,0,0,0,0,0
60128,1011.82,1666,6,98,0,541.0,1,0,0,0,0,0,0,0
60129,667.37,1461,7,98,0,607.0,1,0,0,0,0,0,0,0
60130,775.01,1721,23,98,0,493.0,1,0,0,0,0,0,0,0
60131,527.44,1729,9,98,0,576.0,1,0,0,0,0,0,0,0
60132,1001.05,1696,11,0,1,782.0,1,0,0,0,0,0,0,0
60133,904.18,1720,16,98,0,576.0,1,0,0,0,0,0,0,0
60134,1054.87,1675,18,98,0,674.0,1,0,0,0,0,0,0,0
60135,678.13,2032,23,97,0,462.0,1,0,0,0,0,0,0,0
60136,645.84,1688,9,98,0,541.0,1,0,0,0,0,0,0,0
60137,645.84,1703,14,98,0,674.0,1,0,0,0,0,0,0,0
60138,645.84,1649,7,98,0,674.0,1,0,0,0,0,0,0,0
60139,462.85,1664,9,0,1,782.0,1,0,0,0,0,0,0,0
60140,1140.98,1687,18,98,0,576.0,1,0,0,0,0,0,0,0
60141,645.84,1719,13,98,0,541.0,1,0,0,0,0,0,0,0
60142,645.84,1657,5,98,0,541.0,1,0,0,0,0,0,0,0
60143,1140.98,1656,12,98,0,576.0,1,0,0,0,0,0,0,0
60144,764.24,1645,5,98,0,576.0,1,0,0,0,0,0,0,0
60145,645.84,1500,2,98,0,674.0,1,0,0,0,0,0,0,0
60146,430.56,1644,8,0,1,782.0,1,0,0,0,0,0,0,0
60147,430.56,1661,15,0,1,782.0,1,0,0,0,0,0,0,0
60148,1259.39,1696,22,98,0,674.0,1,0,0,0,0,0,0,0
60149,645.84,1757,21,98,0,674.0,1,0,0,0,0,0,0,0
60150,2098.98,1559,19,98,0,595.0,1,0,0,0,0,0,0,0
60151,1011.82,1589,6,98,0,486.0,1,0,0,0,0,0,0,0
60152,1140.98,1645,10,98,0,576.0,1,0,0,0,0,0,0,0
60153,527.44,1701,11,98,0,486.0,1,0,0,0,0,0,0,0
60154,645.84,1641,3,98,0,541.0,1,0,0,0,0,0,0,0
60155,764.24,1739,10,98,0,595.0,1,0,0,0,0,0,0,0
60156,904.18,1496,1,98,0,486.0,1,0,0,0,0,0,0,0
